spotify_track_uri,ts,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped
1aiDlPLPljMFUylWjMZras,2013-07-08 04:50:09,web player,8308,Something Like Olivia,John Mayer,Born and Raised,trackdone,nextbtn,FALSE,FALSE
4LloVtxNZpeh7q7xdi1DQc,2013-07-08 04:50:09,web player,0,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,nextbtn,nextbtn,FALSE,FALSE
0HLWvLKQWpFdPhgk6ym58n,2013-07-08 04:50:13,web player,1375,Who Says,John Mayer,Battle Studies,nextbtn,clickrow,FALSE,FALSE
5pfVOeJXjiW36GgH7WnjlE,2013-07-08 04:51:11,web player,56644,For My Lover,Tracy Chapman,"Fast Folk Musical Magazine (Vol. 3, No. 4) Boston One",clickrow,clickrow,FALSE,FALSE
2nMeu6UenVvwUktBCpLMK9,2013-07-08 04:55:09,web player,236042,Young And Beautiful,Lana Del Rey,Young And Beautiful,clickrow,unknown,FALSE,FALSE
2nMeu6UenVvwUktBCpLMK9,2013-07-08 04:59:07,web player,236042,Young And Beautiful,Lana Del Rey,Young And Beautiful,trackdone,trackdone,FALSE,FALSE
2nMeu6UenVvwUktBCpLMK9,2013-07-08 05:02:22,web player,192559,Young And Beautiful,Lana Del Rey,Young And Beautiful,trackdone,clickrow,FALSE,FALSE
6nek1Nin9q48AVZcWs9e9D,2013-07-08 05:02:23,web player,320,Paradise,Coldplay,Mylo Xyloto,clickrow,nextbtn,FALSE,FALSE
4HXOBjwv2RnLpGG4xWOO6N,2013-07-08 05:02:25,web player,0,Princess of China,Coldplay,Mylo Xyloto,nextbtn,nextbtn,FALSE,FALSE
7LVHVU3tWfcxj5aiPFEW4Q,2013-07-08 05:02:27,web player,0,Fix You,Coldplay,X&Y,nextbtn,nextbtn,FALSE,FALSE
3AJwUDP919kvQ9QcozQPxg,2013-07-08 05:02:28,web player,0,Yellow,Coldplay,Parachutes,nextbtn,nextbtn,FALSE,FALSE
